PageNo.,DocName,Year,Prof,Student Name,Neighborhood,Borough,Address,Loc,Latitude,Longitude,DocLink,DocType,Tags
075,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1996,WAYNE BERG,,MORNINGSIDE HEIGHTS,MANHATTAN,"MORNINGSIDE HEIGHTS, MANHATTAN","-73.9620581, 40.8105443",40.8105443,-73.9620581,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_075.jpg,,
078,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1997,KELLER EASTERLING,,UPPER WEST SIDE,MANHATTAN,"UPPER WEST SIDE, MANHATTAN","-73.9753676, 40.7870106",40.7870106,-73.9753676,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_078.jpg,,
080,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1998,LAURETTA VINCIARELLI,,GOWANUS CANAL,BROOKLYN,"GOWANUS CANAL, BROOKLYN","-73.9988777, 40.6715865",40.6715865,-73.9988777,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_080.jpg,,
081,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1998,KARLA MARIA ROTHSTEIN,,GOWANUS CANAL,BROOKLYN,"GOWANUS CANAL, BROOKLYN","-73.9988777, 40.6715865",40.6715865,-73.9988777,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_081.jpg,,
084,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1998,KEVIN COLLINS,,GOWANUS CANAL,BROOKLYN,"GOWANUS CANAL, BROOKLYN","-73.9988777, 40.6715865",40.6715865,-73.9988777,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_084.jpg,,
085,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1999,KARLA MARIA ROTHSTEIN,,,BRONX,", BRONX","-73.8648268, 40.8447819",40.8447819,-73.8648268,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_085.jpg,,
096,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,2001,ROBERT MARINO,,FAR ROCKAWAY,QUEENS,"FAR ROCKAWAY, QUEENS","-73.7448436999999, 40.5998931",40.5998931,-73.7448437,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_096.jpg,,
097,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,2001,MARIO GOODEN & CHARLES ELDRED,,FAR ROCKAWAY,QUEENS,"FAR ROCKAWAY, QUEENS","-73.7448436999999, 40.5998931",40.5998931,-73.7448437,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_097.jpg,,
098,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,2001,KATHRYN DEAN,,FAR ROCKAWAY,QUEENS,"FAR ROCKAWAY, QUEENS","-73.7448436999999, 40.5998931",40.5998931,-73.7448437,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_098.jpg,,
099,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,2001,MICHAEL BELL,,FAR ROCKAWAY,QUEENS,"FAR ROCKAWAY, QUEENS","-73.7448436999999, 40.5998931",40.5998931,-73.7448437,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_099.jpg,,
100,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,2002,SCOTT MARBLE,,BOWERY,MANHATTAN,"BOWERY, MANHATTAN","-73.9903489, 40.725257",40.725257,-73.9903489,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_100.jpg,,
101,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,2002,KARLA MARIA ROTHSTEIN,,BOWERY,MANHATTAN,"BOWERY, MANHATTAN","-73.9903489, 40.725257",40.725257,-73.9903489,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_101.jpg,,
102,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,2002,YOSHIKI SATO,,BOWERY,MANHATTAN,"BOWERY, MANHATTAN","-73.9903489, 40.725257",40.725257,-73.9903489,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_102.jpg,,
103,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,2002,CHARLES ELDRED & MARIO GOODEN,,BOWERY,MANHATTAN,"BOWERY, MANHATTAN","-73.9903489, 40.725257",40.725257,-73.9903489,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_103.jpg,,
104,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,2003,SULAN KOLATAN & GREGORY OKSHTEYN,,LOWER EAST SIDE,MANHATTAN,"LOWER EAST SIDE, MANHATTAN","-73.9842724, 40.715033",40.715033,-73.9842724,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_104.jpg,,
105,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,2003,CRAIG KONYK,,LOWER EAST SIDE,MANHATTAN,"LOWER EAST SIDE, MANHATTAN","-73.9842724, 40.715033",40.715033,-73.9842724,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_105.jpg,,
106,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,2003,KARLA ROTHSTEIN WITH AHM CHANDAWANISH & SUNG KIM,,LOWER EAST SIDE,MANHATTAN,"LOWER EAST SIDE, MANHATTAN","-73.9842724, 40.715033",40.715033,-73.9842724,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_106.jpg,,
107,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,2003,YOSHIKI SATO,,LOWER EAST SIDE,MANHATTAN,"LOWER EAST SIDE, MANHATTAN","-73.9842724, 40.715033",40.715033,-73.9842724,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_107.jpg,,
